Ano;taxa_media;produtores;apolices;area_segurada;import_segurada;premio_prod;premio_seg;tot_subvencao
2006;0,047205722460739;16460;21783;1761653;2870174188,59;38797656,9099999;69.959.289,70;31.161.632,79
2007;0,059948240091707;23350;31740;2271536;2715475197,46001;65012845,1499998;125.959.060,56;60.946.215,41
2008;0,056995002996098;43431;59705;4697796;7117398081,18002;162097310,77;318.369.850,59;156.272.539,82
2009;0,062038173229026;49785;72644;6583345;9528240686,92;213465151,040001;472.345.167,97;258.880.016,93
2010;0,071074001682548;38047;52543;4760528;6526976056,07999;166017669,050001;363.188.228,40;197.170.559,35
2011;0,0741405557065;39945;57038;4469851;7220707439,78002;205810921,960001;455.006.243,76;249.195.321,80
2012;0,076522518149054;43453;63063;5195160;8724747251,79004;246494914,159999;564.447.185,12;317.952.270,96
2013;0,073251322799433;65491;101678;9823541;16808681931,9;442033545,779998;998.451.747,68;556.418.201,90
2014;0,082511988559959;73514;117597;9883546;18502249751,4901;539809637,029998;1.228.918.987,36;689.109.350,33
2015;0,10318016128896;27662;39892;2646521;5424627723,7;185566431,77;462.498.604,60;276.932.172,83
2016;0,085810810265105;47477;74334;5446526,81999999;12839004425,96;520391852,43;906.249.812,70;385.857.960,27
2017;0,084796790714638;44784;66436;4757445,89;12011186761,76;486596810,429999;849.853.394,29;363.256.583,86
2018;0,084013205577946;42272;63085;4627251,12000002;12478674302,28;486997654,039999;853.620.093,45;366.622.439,41
2019;0,078034867584011;57365;92707;6659081,17000004;19443687372,94;799488300,590004;1.225.102.062,39;425.613.761,80
2020;0,074610845477597;104762;189368;13331006,58;44625257822,8802;1952576080,74;2.813.015.970,51;860.439.889,77
2021;0,097981931520675;47472;66928;3763268,55000001;14413814215,51;772396294,880001;1.216.406.734,56;444.010.439,68
