,uf,nome_uf,mun,nome_mun,rm,meso,nome_meso,micro,nome_micro,codmun6,regiao,nome_regiao
0,11,Rondônia,1100015,alta_floresta_doeste,,1102,Leste Rondoniense,11006,Cacoal,110001,1,Norte
1,11,Rondônia,1100023,ariquemes,,1102,Leste Rondoniense,11003,Ariquemes,110002,1,Norte
2,11,Rondônia,1100031,cabixi,,1102,Leste Rondoniense,11008,Colorado do Oeste,110003,1,Norte
3,11,Rondônia,1100049,cacoal,,1102,Leste Rondoniense,11006,Cacoal,110004,1,Norte
4,11,Rondônia,1100056,cerejeiras,,1102,Leste Rondoniense,11008,Colorado do Oeste,110005,1,Norte
5,11,Rondônia,1100064,colorado_do_oeste,,1102,Leste Rondoniense,11008,Colorado do Oeste,110006,1,Norte
6,11,Rondônia,1100072,corumbiara,,1102,Leste Rondoniense,11008,Colorado do Oeste,110007,1,Norte
7,11,Rondônia,1100080,costa_marques,,1101,Madeira-Guaporé,11002,Guajará-Mirim,110008,1,Norte
8,11,Rondônia,1100098,espigao_doeste,,1102,Leste Rondoniense,11006,Cacoal,110009,1,Norte
9,11,Rondônia,1100106,guajara_mirim,,1101,Madeira-Guaporé,11002,Guajará-Mirim,110010,1,Norte
10,11,Rondônia,1100114,jaru,,1102,Leste Rondoniense,11004,Ji-Paraná,110011,1,Norte
11,11,Rondônia,1100122,ji_parana,,1102,Leste Rondoniense,11004,Ji-Paraná,110012,1,Norte
12,11,Rondônia,1100130,machadinho_doeste,,1102,Leste Rondoniense,11003,Ariquemes,110013,1,Norte
13,11,Rondônia,1100148,nova_brasilandia_doeste,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110014,1,Norte
14,11,Rondônia,1100155,ouro_preto_do_oeste,,1102,Leste Rondoniense,11004,Ji-Paraná,110015,1,Norte
15,11,Rondônia,1100189,pimenta_bueno,,1102,Leste Rondoniense,11007,Vilhena,110018,1,Norte
16,11,Rondônia,1100205,porto_velho,,1101,Madeira-Guaporé,11001,Porto Velho,110020,1,Norte
17,11,Rondônia,1100254,presidente_medici,,1102,Leste Rondoniense,11004,Ji-Paraná,110025,1,Norte
18,11,Rondônia,1100262,rio_crespo,,1102,Leste Rondoniense,11003,Ariquemes,110026,1,Norte
19,11,Rondônia,1100288,rolim_de_moura,,1102,Leste Rondoniense,11006,Cacoal,110028,1,Norte
20,11,Rondônia,1100296,santa_luzia_doeste,,1102,Leste Rondoniense,11006,Cacoal,110029,1,Norte
21,11,Rondônia,1100304,vilhena,,1102,Leste Rondoniense,11007,Vilhena,110030,1,Norte
22,11,Rondônia,1100320,sao_miguel_do_guapore,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110032,1,Norte
23,11,Rondônia,1100338,nova_mamore,,1101,Madeira-Guaporé,11001,Porto Velho,110033,1,Norte
