cultura,apolices_contratadas,total_segurado_mil,soma_premio_total_mil,total_subvencao_mil,valor_indenizacoes_pagas_mil,sinistralidade_media,taxa_media,apolices_indenizadas,mun,ano
Alface,3.0,139850.0,4894.75,1468.4299999999998,0.0,0.0,0.07,0.0,7057509,2006
Algodão,36.0,15585533.23,640784.8599999999,319899.13,0.0,0.0,1.3370000000000002,0.0,56059676,2006
Ameixa,72.0,2820391.0900000003,360460.06000000006,108138.05999999998,153064.49,17.86,4.416,15.0,129256407,2006
Amendoim,5.0,185563.46,15366.93,4610.08,0.0,0.0,0.134,0.0,7074413,2006
Arroz,3.0,199880.83000000002,7731.64,3865.83,0.0,0.0,0.11300000000000002,0.0,11242668,2006
Batata,2.0,471000.0,18444.45,5533.33,0.0,0.0,0.08399999999999999,0.0,7378607,2006
Beterraba,1.0,11700.0,459.98,137.99,0.0,0.0,0.039,0.0,3537800,2006
Cana-de-açúcar,68.0,9832670.790000001,98367.23999999999,29510.199999999997,0.0,0.0,0.3880000000000001,0.0,103360110,2006
Caqui,173.0,9612702.72,1261510.0999999999,378453.1699999999,1098925.03,46.61000000000001,8.78,36.0,191817682,2006
Cebola,19.0,729758.25,28013.670000000002,8404.099999999999,0.0,0.0,0.116,0.0,11740517,2006
Feijão,8.0,397736.05,14437.769999999999,8662.64,886.09,0.95,0.17900000000000002,1.0,18244536,2006
Floresta,15.0,1387726646.76,2438263.77,128431.23,0.0,0.0,0.101,0.0,33286654,2006
Goiaba,4.0,196200.0,19233.84,5770.16,6723.18,2.41,0.30600000000000005,1.0,10580616,2006
Kiwi,9.0,489200.0,30810.709999999995,9243.22,880.86,0.5,0.497,1.0,33905709,2006
Maçã,703.0,158405710.11,13191202.680000003,5140265.140000001,16551623.12,94.68,7.719000000000004,148.0,383204674,2006
Milho 1ª safra,268.0,6603276.610000001,285456.23000000004,142728.56000000008,0.0,0.0,4.391999999999998,0.0,347586012,2006
Nectarina,6.0,110474.7,10963.15,3288.96,0.0,0.0,0.42900000000000005,0.0,17438870,2006
Pecuário,93.0,12542339.6,350026.87,105008.10999999999,283627.7,61.78999999999999,1.804999999999999,21.0,188916832,2006
Pimentão,3.0,28295.0,1247.86,374.36,0.0,0.0,0.063,0.0,3519709,2006
Pêra,5.0,175102.05,15049.93,4514.98,59983.79,5.99,0.354,1.0,17344234,2006
Pêssego,127.0,5151830.1899999995,446055.5800000001,133816.75,62650.36,4.38,3.1069999999999984,4.0,128277554,2006
Repolho,2.0,50197.5,1816.44,544.93,0.0,0.0,0.037000000000000005,0.0,3537800,2006
Soja,18024.0,1139131922.719998,44267713.93000007,22133867.94000003,1326926.79,592.95,37.830999999999975,60.0,3702992202,2006
Tomate,70.0,13293222.49,649095.7699999999,194728.78000000003,221054.08000000002,17.229999999999997,1.4020000000000004,6.0,106085270,2006
Uva,2017.0,93270513.41,5026258.12,2010503.1400000006,933440.2500000001,111.09000000000002,9.708000000000002,95.0,573134208,2006
Alface,6.0,178924.62,6451.969999999999,2580.78,0.0,0.0,0.10800000000000001,0.0,12357617,2007
Algodão,3.0,972811.8099999999,81781.06,40890.54,0.0,0.0,2.22,0.0,11137415,2007
Alho,24.0,3430632.0,175458.68,70183.48000000001,345579.69999999995,18.130000000000003,0.7650000000000002,5.0,63848192,2007
Ameixa,261.0,14778954.049999999,1673370.320000001,669348.1499999999,1620752.43,132.79999999999998,9.933000000000002,70.0,361747033,2007
