seguradora,apolices_contratadas,total_segurado_mil,soma_premio_total_mil,total_subvencao_mil,valor_indenizacoes_pagas_mil,sinistralidade_media,taxa_media,apolices_indenizadas,mun,ano
Brasilseg,13638.0,963637556.8899988,37443994.41000004,18721997.260000017,840463.9799999999,356.2200000000001,21.792999999999964,46.0,2216762066,2006
Mapfre,4620.0,247257575.04000008,8266092.259999993,3801856.700000001,487348.9,237.68,26.229999999999986,15.0,1981212841,2006
Nobre,1984.0,196238311.09000003,13841617.560000008,5353551.229999995,7123997.980000001,138.54,15.555999999999997,172.0,870792889,2006
Swiss Re,1494.0,1450028274.54,9631962.100000003,3004364.0300000017,12247974.879999999,224.00000000000003,19.827999999999978,156.0,1027812473,2006
Allianz,871.0,86294989.65,2289950.7799999993,971362.9599999996,110051.76000000002,56.410000000000004,6.841999999999995,15.0,451465802,2007
Brasilseg,17380.0,1327681769.2799993,61898005.80999993,31506029.110000003,3460078.999999999,1561.2400000000005,88.45500000000065,149.0,6402208957,2007
Mapfre,5571.0,451929492.8500001,15662530.719999997,7450314.529999996,3422786.6200000006,310.3499999999999,56.69599999999987,180.0,3259900889,2007
Nobre,4752.0,496505741.1199999,28992592.38999999,13450248.65,21954813.190000005,586.2099999999997,34.39,1112.0,2163493903,2007
Porto Seguro,62.0,3514488.67,267059.97000000003,130856.88999999998,771226.0599999999,35.14,0.8359999999999999,33.0,38800571,2007
Swiss Re,2484.0,247806777.45999998,14575160.750000006,6471534.969999998,11779134.540000003,662.9099999999999,224.14900000000014,391.0,2127557177,2007
Allianz,1148.0,222510860.55,5412685.1099999985,2454276.05,2374190.97,213.31999999999994,13.373999999999986,96.0,854209901,2008
Brasilseg,36513.0,4459742986.400002,196072796.9499999,99184646.49000017,114239239.12,5309.770000000005,222.83100000000024,4232.0,13589566587,2008
Itaú,9.0,29999997.0,1756730.01,255405.88,0.0,0.0,0.059000000000000004,0.0,5300108,2008
Mapfre,8723.0,764887917.3899993,28320632.880000036,13359003.519999987,22980988.109999996,2044.1999999999996,83.88599999999938,1561.0,6093132564,2008
Nobre,8113.0,988429866.6900002,48406719.220000096,23233758.98000003,44120922.93999999,1260.9800000000005,62.06799999999986,1771.0,4073416261,2008
Porto Seguro,237.0,12120194.709999999,1143320.9400000002,519632.21,867057.9199999999,48.63,5.471000000000001,52.0,187760117,2008
Swiss Re,4968.0,685335574.2100012,36943127.240000084,16917759.13000001,34652726.55000001,1155.22,70.26899999999998,913.0,4255432188,2008
Allianz,2402.0,340255788.30999994,16242875.799999997,9046667.859999988,6387025.040000004,263.0799999999999,55.76999999999997,272.0,2566770230,2009
Brasilseg,37525.0,4878571099.780005,256865889.03999957,139804342.9099999,112542133.08000001,5508.110000000005,232.88899999999973,2437.0,13738671611,2009
Mapfre,10508.0,1387987733.8800013,41190209.9,21911359.11999998,12271748.209999999,1292.64,99.3330000000004,850.0,6242488335,2009
Nobre,13627.0,1589477312.080002,90940196.21999994,53888007.45,63777081.59999998,1923.0800000000015,132.6970000000002,3080.0,7302710271,2009
Porto Seguro,1655.0,147284494.32,13618364.000000002,7660618.02,6346371.6099999985,176.97999999999996,31.375999999999976,266.0,1067855373,2009
Swiss Re,3221.0,466014933.5600002,25534089.68000002,12578005.860000012,5791754.330000002,540.4600000000002,43.43999999999992,277.0,2709506512,2009
Allianz,2794.0,402418130.1600002,14647111.529999986,7216832.250000006,1982949.6400000001,190.95,35.93499999999995,48.0,2416808343,2010
Brasilseg,29800.0,4049169622.1100025,208843363.03000006,111241278.11000025,36390386.25,3812.660000000001,179.9329999999995,571.0,11138777495,2010
Mapfre,5248.0,706410548.3799998,22903966.53999999,11941252.06,6962139.530000001,271.3299999999999,27.082999999999945,263.0,2456184792,2010
Nobre,10985.0,1008908989.2699999,82422093.62999998,48385649.11000007,81293222.61000007,1722.79,233.46399999999957,2340.0,7273819290,2010
Porto Seguro,1062.0,110222854.66000003,11346104.59,6261817.669999999,9175930.469999999,233.33,30.07800000000006,230.0,935081914,2010
Swiss Re,3154.0,556465969.0000002,30573842.570000004,14622597.519999996,10330935.990000006,461.5100000000001,51.191999999999865,399.0,2907400461,2010
Allianz,3215.0,335087122.6899998,18749422.520000003,10721613.62,9718495.740000002,626.8600000000001,59.70600000000008,423.0,2690025173,2011
Brasilseg,27174.0,3697847342.0299993,230644360.64999956,124241016.94000004,200649028.10000014,5953.819999999999,263.6109999999992,4612.0,14016511611,2011
Mapfre,9536.0,1350889252.890001,47047620.529999964,25018950.94000001,39588323.27,1859.4399999999996,80.78200000000034,2321.0,6348181439,2011
Nobre,14542.0,1354656119.1499996,118151536.44999999,69109780.66999994,155815133.69999996,2864.3299999999967,166.78599999999952,4837.0,7831188137,2011
Porto Seguro,2048.0,217707510.8400001,25064735.57000002,14227457.189999994,19198312.009999994,283.96000000000004,47.09500000000013,400.0,1412506154,2011
Swiss Re,3860.0,674787819.4500002,35852253.85000004,17293861.990000006,29169367.85999999,1134.750000000001,58.959999999999916,952.0,3494318120,2011
Allianz,5590.0,488964591.4200002,35003259.55999998,20737231.78999998,7709394.819999998,487.31,79.0130000000001,263.0,3485544932,2012
Brasilseg,26056.0,4132266924.6900005,274254532.27999943,152883872.40000007,73037771.53999998,2256.0300000000007,221.3760000000003,821.0,12211970970,2012
Fairfax,2.0,419578.0,65549.11,39329.47,0.0,0.0,0.158,0.0,2611101,2012
Mapfre,8452.0,1468074342.0500007,48704407.56000001,27257999.33999998,14224475.620000014,769.5699999999998,61.42699999999996,842.0,4505589346,2012
Nobre,14447.0,1369149993.7400007,116150719.1399998,67670895.15000002,72592685.36999997,1886.58,147.52500000000046,3132.0,7469722562,2012
Porto Seguro,2644.0,275561563.84,31644949.509999998,16913576.12000001,11003188.089999998,207.81000000000012,53.45699999999992,360.0,1547397684,2012
Swiss Re,4888.0,805440156.7999996,48158997.359999985,27253958.360000007,28113385.98999999,1254.85,58.3879999999997,667.0,3647960509,2012
Allianz,6009.0,634382090.4499997,39168886.43000003,22271820.449999996,7893409.01,399.3799999999999,97.7480000000003,297.0,3873672985,2013
Brasilseg,53897.0,10135497133.350006,613148440.8500001,340329638.55000013,333542322.01999986,10026.210000000008,384.71000000000134,4224.0,21328479808,2013
Essor,10397.0,1165244507.6999993,96391843.82,53494876.32999994,63976242.769999996,1432.12,118.03799999999985,2546.0,5941756883,2013
Fairfax,2.0,557260.0,47924.36,19169.74,0.0,0.0,0.086,0.0,2611101,2013
Mapfre,14826.0,2726743261.389998,102040050.46000005,54849847.75999998,93123867.92000008,2920.92,119.39300000000108,2946.0,8341326890,2013
Nobre,5571.0,405642319.55,37541307.25000002,24414825.88999999,49321713.94000003,1214.2099999999994,100.16400000000132,1892.0,4166438161,2013
Porto Seguro,3312.0,318236204.7500003,38408320.93,20133143.560000006,15957916.479999993,405.1399999999999,61.89199999999999,507.0,1794591391,2013
Sancor,17.0,1161716.85,71579.69,28631.859999999997,0.0,0.0,0.495,0.0,32902656,2013
Swiss Re,8424.0,1549251442.3100019,79937610.5200001,44904890.039999925,30572516.170000013,1742.2399999999996,121.40199999999972,890.0,7117485621,2013
Allianz,5807.0,494121464.36999995,46580448.99000001,27168766.209999964,16704234.530000009,626.2600000000003,107.46500000000006,493.0,3508063523,2014
Brasilseg,51103.0,10390209142.430035,642515590.3000004,357174066.5299998,439241153.1900004,9609.769999999999,429.8909999999992,4821.0,22441227714,2014
Essor,16141.0,1838703586.8299987,165920869.6199999,98243800.62999994,78657586.02,1373.489999999999,190.5310000000013,2603.0,8419990938,2014
Fairfax,280.0,45100934.11999999,2974861.159999999,1408995.9700000002,5578999.2,99.9,6.776000000000003,19.0,389231045,2014
Mapfre,23526.0,2758759198.6900005,167473678.84000033,90311364.14999962,105358761.93999997,3322.1299999999983,242.96000000000103,3342.0,13133642877,2014
Nobre,3442.0,401710025.86000043,36334859.75999999,21383449.909999996,21088846.14000001,802.5599999999998,83.62899999999983,534.0,3353134900,2014
Porto Seguro,2763.0,273160353.29,33244164.0,17883629.259999994,14753195.129999997,273.07,51.68800000000002,507.0,1486344821,2014
Sancor,798.0,50563544.610000014,5800079.119999998,3660372.6899999995,718159.2299999999,49.849999999999994,24.233000000000022,38.0,821883969,2014
Swiss Re,13604.0,2210551456.729999,126588673.13000023,71028812.10000004,34926642.32000001,940.9599999999997,161.00299999999922,544.0,9087810686,2014
Allianz,3048.0,271202857.2799998,24606095.100000035,14600815.710000006,9620295.179999998,547.21,57.58799999999999,280.0,2051489425,2015
Brasilseg,5950.0,1290489592.3999984,104938383.66999988,63595631.41999998,92372780.18000004,2681.08,176.6419999999984,999.0,8081844950,2015
Essor,7167.0,887765275.5600009,80193889.65000002,47482506.79000002,63487925.57000001,1227.6400000000006,120.51200000000077,1956.0,4989592977,2015
Excelsior,134.0,14313556.809999999,1015632.42,420436.78,562193.07,103.72000000000001,3.55,18.0,188893983,2015
Fairfax,1167.0,140914227.06999996,9600970.580000004,5315796.160000002,6505592.319999999,362.9199999999999,24.75,116.0,1273676684,2015
Mapfre,7578.0,933158211.8200002,68425449.83000004,41181213.56000004,67617230.1,1562.8400000000013,107.56300000000006,2000.0,4778212884,2015
Nobre,2624.0,292265878.8499999,35459458.7,21738958.929999996,20217973.72999999,669.9899999999998,77.60000000000004,527.0,2672317537,2015
Porto Seguro,1772.0,173567062.29999992,21898322.0,11721325.199999992,6206872.72,120.64999999999999,32.812,244.0,902936184,2015
Sancor,3638.0,406317710.92999977,43345737.109999955,27239459.28999998,25709028.430000007,768.5100000000004,85.56300000000012,618.0,2831597845,2015
Swiss Re,6753.0,988541068.6500014,71985171.59,43080553.62000004,25288511.219999995,783.1699999999998,118.35200000000006,530.0,5546277310,2015
Allianz,7694.0,1193386825.749999,76441568.94999999,33746926.03999999,32113887.649999984,901.68,108.58799999999995,877.0,5296753801,2016
Brasilseg,14223.0,4349648185.729994,266599987.02999982,114209423.55000006,222476361.86,4237.199999999998,220.01600000000371,1335.0,12632111044,2016
Essor,14758.0,1982646841.240001,175739444.03000015,75549665.70000009,51660638.39000004,777.6099999999996,194.70500000000152,1307.0,8136504590,2016
Excelsior,373.0,52156636.24,2598021.0099999993,1169109.5099999998,137426.7,24.51,6.377000000000006,8.0,407407508,2016
Fairfax,2468.0,361419642.27000034,24453694.639999997,10795708.180000005,5803459.96,327.65,39.1470000000001,150.0,1822121893,2016
Mapfre,9363.0,1619604929.6899996,93160325.60999985,39489717.27999989,33738367.94,1038.2299999999998,139.36999999999964,821.0,7731442796,2016
Nobre,2327.0,247998066.07000005,29312299.980000004,5386828.670000001,0.0,0.0,42.84399999999997,0.0,1558907322,2016
Porto Seguro,2408.0,260063712.59999987,30105434.94,13536428.750000013,11413010.93,191.52000000000007,40.34500000000001,375.0,1140593190,2016
Sancor,10324.0,1190488357.4599986,105343730.72000003,46870801.659999914,68744130.22999999,1530.5000000000014,168.07500000000087,1361.0,6630671764,2016
Swiss Re,10291.0,1556327108.8000002,101144368.98000011,44543633.05000005,36057328.37999998,1278.3999999999999,133.45400000000052,1104.0,6541815033,2016
Tokio Marine,1.0,30492.0,2286.93,1029.09,0.0,0.0,0.075,0.0,3553955,2016
Allianz,7054.0,977613398.2099996,64453972.69000001,28249762.110000003,10954633.770000001,573.13,96.72700000000009,301.0,4732824898,2017
Brasilseg,10358.0,3284832307.259998,187000485.32000005,76793478.46000002,40984192.37,1552.0100000000011,184.46600000000177,408.0,10572448893,2017
Essor,15562.0,2310707127.3900013,202494094.5900006,85576983.04999997,54418347.08000004,1114.5599999999993,211.99900000000187,1612.0,8814088384,2017
Excelsior,817.0,98297942.89999996,6762662.7600000035,3034834.4199999995,1942672.0499999993,93.79000000000002,19.157000000000057,44.0,938452354,2017
