evento_sinistro,apolices_contratadas,total_segurado_mil,soma_premio_total_mil,total_subvencao_mil,valor_indenizacoes_pagas_mil,sinistralidade_media,taxa_media,apolices_indenizadas,mun,ano
-,21347.0,2806518247.989998,65173760.660000004,29333121.299999997,0.0,0.0,73.38500000000009,0.0,5539072184,2006
 CHUVA EXCESSIVA,1.0,21722.54,1801.56,900.78,4219.47,2.34,0.083,1.0,3528809,2006
 DEMAIS CAUSAS,2.0,109900.0,3145.89,943.77,13749.6,4.37,0.02,2.0,4317301,2006
 GEADA,16.0,328480.58999999997,11496.08,5748.06,568825.42,298.89,0.22499999999999998,16.0,24701720,2006
 GRANIZO,325.0,46145417.33,3862175.200000001,1486509.7399999995,19371424.66,361.04999999999995,8.277000000000005,325.0,382681086,2006
 MORTE,19.0,2461252.99,55489.579999999994,16646.89,269878.1,57.419999999999995,0.23599999999999996,19.0,40102236,2006
 SECA,21.0,1313038.75,66067.18000000001,33033.590000000004,430614.4799999999,191.04,0.9730000000000002,21.0,80700106,2006
 VARIAÇÃO EXCESSIVA DE TEMPERATURA,4.0,249967.16999999998,9173.64,4586.82,33660.03,28.01,0.167,4.0,17373926,2006
 VENTOS FORTES/FRIOS,1.0,13690.2,556.54,278.27,7413.98,13.32,0.040999999999999995,1.0,4102901,2006
-,29240.0,2394888855.259998,109597563.76999998,53484705.73000002,0.0,0.0,380.34499999999423,0.0,12643972861,2007
 CHUVA EXCESSIVA,18.0,1811433.8599999999,88637.71,46641.07,358792.37,76.19000000000001,1.067,18.0,61677365,2007
 DEMAIS CAUSAS,11.0,4454823.73,139252.78999999998,41775.84,371167.64,11.82,0.18100000000000002,11.0,26856926,2007
 GEADA,17.0,753574.9,79385.0,46416.39,288503.51,58.4,1.306,17.0,45603661,2007
 GRANIZO,1709.0,185367251.35000005,12959756.359999998,6041875.160000002,36166834.55000001,1446.2900000000016,23.115999999999993,1709.0,1281556918,2007
 INCÊNDIO,2.0,660264.59,5798.09,1917.69,185891.48,101.67,0.017,2.0,8839015,2007
 INUNDAÇÃO/TROMBA D´ÁGUA,8.0,349869.52,16250.919999999998,8125.459999999999,150480.66999999998,66.16,0.32499999999999996,8.0,27834187,2007
 MORTE,32.0,15988660.0,463086.2800000001,137331.75,1799215.0,207.66999999999996,0.7360000000000001,32.0,86222295,2007
 SECA,81.0,9232189.21,320551.68,164049.11,2093432.0700000008,1233.78,4.135,81.0,252332757,2007
 VARIAÇÃO EXCESSIVA DE TEMPERATURA,2.0,226336.61,15017.82,7508.91,83773.88,10.28,0.13999999999999999,2.0,8531314,2007
-,51086.0,6364146928.929998,274871743.2699996,135124485.28000018,0.0,0.0,355.69400000000144,0.0,22695250675,2008
 CHUVA EXCESSIVA,92.0,8919117.230000002,550351.8399999999,294645.34,2900993.21,497.86000000000007,6.1209999999999996,92.0,297924361,2008
 DEMAIS CAUSAS,7.0,2773389.65,38265.31,13627.970000000001,112624.78,19.939999999999998,0.165,7.0,24469236,2008
 GEADA,318.0,35606957.36000001,1761614.5199999998,948839.4299999997,5260876.8100000005,305.52999999999986,8.663000000000004,318.0,349839952,2008
 GRANIZO,2586.0,328778117.5199998,21984499.470000006,10293092.25,73837055.41000006,2799.41,40.304999999999914,2586.0,2235000715,2008
 INCÊNDIO,9.0,3715643.1,45508.45,18545.67,320745.65,92.91000000000001,0.179,9.0,30724834,2008
 INUNDAÇÃO/TROMBA D´ÁGUA,17.0,2203227.56,93582.90999999999,46791.49,660383.2300000001,140.55,0.79,17.0,58262020,2008
 MORTE,42.0,24599800.58,688946.1699999999,194533.5,1325726.56,100.18,0.6650000000000004,42.0,88241005,2008
 PERDA DE QUALIDADE,1.0,20000.0,1371.39,685.7,6526.49,4.76,0.069,1.0,4318606,2008
 RAIO,1.0,106165.5,7950.87,3975.44,40219.21,5.06,0.075,1.0,4127403,2008
 SECA,5535.0,388382304.00000036,17917425.760000013,8939651.470000008,133454569.28000009,5920.980000000001,44.471999999999966,5535.0,3205077983,2008
 VARIAÇÃO EXCESSIVA DE TEMPERATURA,4.0,552676.7,37422.43,18711.23,109059.5,13.370000000000001,0.274,4.0,14692220,2008
 VENTOS FORTES/FRIOS,13.0,3223068.82,57329.96000000001,26897.49,1206345.48,131.57,0.4860000000000001,13.0,50888716,2008
-,61756.0,7828296802.250004,380163266.3900003,205356891.6899997,0.0,0.0,426.4100000000001,0.0,26078295723,2009
 CHUVA EXCESSIVA,1500.0,178013914.99999997,12076893.809999997,8169043.219999998,50181465.79000003,2329.620000000002,49.76100000000003,1500.0,1858876575,2009
 DEMAIS CAUSAS,2.0,16447.2,2596.92,1817.85,6155.73,2.37,0.158,2.0,4127700,2009
 GEADA,651.0,48170004.43999999,4446016.58,3070932.4999999995,13156838.089999996,639.89,24.85100000000004,651.0,842501430,2009
