ano,uf,nome_mun,cultura,seguradora,evento_sinistro,apolices_contratadas,total_segurado_mil,soma_premio_total_mil,total_subvencao_mil,valor_indenizacoes_pagas_mil,sinistralidade_media,taxa_media,apolices_indenizadas
2018,AC,Rio Branco,Pecuário,Mapfre,-,2,988246.8,9892.13,4451.45,0.0,0.0,0.01,0
2018,AL,Igaci,Milho 1ª safra,Aliança do Brasil, SECA,1,646644.9,51309.86,23089.44,514018.03,10018,79,1
2018,AL,Limoeiro de Anadia,Milho 1ª safra,Sancor,-,1,322882.69,29059.47,13076.76,0.0,0.0,0.09,0
2018,AL,Messias,Pecuário,Mapfre,-,1,386600.0,3869.78,1741.4,0.0,0.0,0.01,0
2018,AL,Santana do Mundaú,Pecuário,Mapfre,-,1,165920.0,1660.82,747.36,0.0,0.0,0.01,0
2018,AL,Viçosa,Pecuário,Mapfre,-,1,300000.0,3002.93,1351.31,0.0,0.0,0.01,0
2018,AM,Iranduba,Soja,Aliança do Brasil,-,1,353920.0,35392.0,15926.4,0.0,0.0,0.1,0
2018,AM,Novo Airão,Soja,Aliança do Brasil,-,2,1499520.0,149952.0,67478.4,0.0,0.0,0.1,0
2018,BA,Alcobaça,Floresta,Mapfre,-,1,231840.0,5126.24,2306.8,0.0,0.0,22,0
2018,BA,Baianópolis,Soja,Aliança do Brasil,-,4,2941946.21,198969.26,89536.16,0.0,0.0,68,0
2018,BA,Baianópolis,Soja,Aliança do Brasil, SECA,4,3617724.4,246497.64,110923.93,536594.27,2177,68,4
2018,BA,Barra do Choça,Café,Swiss Re,-,1,30000.24,500.0,225.0,0.0,0.0,17,0
2018,BA,Barreiras,Soja,Aliança do Brasil,-,7,4098334.48,341287.14,153579.22,0.0,0.0,82,0
2018,BA,Barreiras,Soja,Aliança do Brasil, SECA,1,523654.4,37671.46,16952.16,500.0,13,72,1
2018,BA,Barreiras,Soja,Markel,-,1,630000.0,103468.75,46560.94,0.0,0.0,164,0
2018,BA,Barreiras,Soja,Sancor,-,3,2219799.89,139963.78,62983.71,0.0,0.0,63,0
2018,BA,Camacan,Café,Aliança do Brasil,-,1,67052.58,2594.64,1167.59,0.0,0.0,39,0
2018,BA,Caravelas,Floresta,Mapfre,-,2,1927241.24,44754.83,20139.67,0.0,0.0,23,0
2018,BA,Casa Nova,Uva,Fairfax,-,2,1424800.0,71425.72,32141.57,0.0,0.0,0.05,0
2018,BA,Coronel João Sá,Milho 1ª safra,Sancor, SECA,1,29085.7,2617.71,1177.97,25022.95,9559,0.09,1
2018,BA,Correntina,Soja,Aliança do Brasil,-,2,1486092.0,140209.54,63094.29,0.0,0.0,94,0
2018,BA,Correntina,Soja,Aliança do Brasil, SECA,4,3979634.56,368025.8,165611.61,1242967.7,3377,89,4
2018,BA,Encruzilhada,Café,Aliança do Brasil,-,2,302513.93,11705.97,5267.69,0.0,0.0,39,0
2018,BA,Encruzilhada,Pecuário,Mapfre,-,1,352500.0,3528.45,1587.8,0.0,0.0,0.01,0
2018,BA,Eunápolis,Café,Sancor,-,2,288636.75,13106.43,5897.89,0.0,0.0,46,0
2018,BA,Formosa do Rio Preto,Milho 1ª safra,Sancor, SECA,1,476248.5,32384.9,14573.21,213195.45,6583,68,1
2018,BA,Formosa do Rio Preto,Soja,Aliança do Brasil,-,34,26160245.46,2081846.59,936831.0,0.0,0.0,82,0
2018,BA,Formosa do Rio Preto,Soja,Aliança do Brasil, SECA,3,2557053.54,202847.1,91281.19,418226.77,2062,86,3
2018,BA,Formosa do Rio Preto,Soja,Essor,-,6,3449993.24,269954.64,121479.58,0.0,0.0,0.08,0
2018,BA,Formosa do Rio Preto,Soja,Excelsior,-,5,3791155.17,329613.06,131845.23,0.0,0.0,87,0
2018,BA,Formosa do Rio Preto,Soja,Mapfre,-,1,432544.0,45555.8,20500.11,0.0,0.0,105,0
2018,BA,Formosa do Rio Preto,Soja,Markel,-,1,560000.0,71373.56,32118.1,0.0,0.0,127,0
